floor,code,tower,category,capacity,sub,pcd,kind
-1,T3 3223,C,2,2,057A;057B,False,CAR
-1,T3 3201,C,2,2,010A;010B,False,CAR
-1,T3 3202,C,2,2,010A;010B,False,CAR
-1,T3 3203,C,2,2,010A;010B,False,CAR
-1,T3 3204,C,2,2,010A;010B,False,CAR
-1,T3 3205,C,2,2,010A;010B,False,CAR
-1,T3 3224,C,2,2,057A;057B,False,CAR
-1,T3 3225,C,2,2,058A;058B,False,CAR
-1,T3 3206,C,2,2,010A;010B,False,CAR
-1,T3 3207,C,2,2,010A;010B,False,CAR
-1,T3 3208,C,2,2,010A;010B,False,CAR
-1,T3 3226,C,2,2,093A;093B,False,CAR
-1,T3 3227,C,2,2,094A;094B,False,CAR
-1,T3 3228,B,2,2,066A;066B,False,CAR
-1,T3 3231,C,2,2,093A;093B,False,CAR
-1,T3 3230,C,2,2,094A;094B,False,CAR
-1,T3 3229,C,2,2,095A;095B,False,CAR
-1,T3 3209,C,2,2,010A;010B,False,CAR
-1,T3 3210,C,2,2,010A;010B,False,CAR
-1,T3 3211,C,2,2,010A;010B,False,CAR
-1,T3 3212,C,2,2,010A;010B,False,CAR
-1,T3 3213,C,2,2,010A;010B,False,CAR
-1,T3 3214,C,2,2,010A;010B,False,CAR
-1,T3 3215,C,2,2,010A;010B,False,CAR
-1,T3 3216,C,2,2,010A;010B,False,CAR
-1,T3 3217,C,2,2,010A;010B,False,CAR
-1,T3 3218,B,2,2,066A;066B,False,CAR
-1,T3 3232,C,2,2,093A;093B,False,CAR
-1,T3 3234,C,2,2,093A;093B,False,CAR
-1,T3 3235,C,2,2,093A;093B,False,CAR
-1,T3 3219,B,2,2,066A;066B,False,CAR
-1,T3 3220,B,2,2,066A;066B,False,CAR
-1,T3 3221,B,2,2,066A;066B,False,CAR
-1,T3 3222,B,2,2,066A;066B,False,CAR
-1,T3 3102,C,2,2,057A;057B,False,CAR
-1,T3 3103,C,2,2,057A;057B,False,CAR
-1,T3 3105,C,2,2,093A;093B,False,CAR
-1,T3 3104,C,2,2,093A;093B,False,CAR
-1,T3 3106,C,2,2,093A;093B,False,CAR
-1,T3 3107,C,2,2,093A;093B,False,CAR
-1,T3 3108,C,2,2,093A;093B,False,CAR
-1,T3 3109,C,2,2,093A;093B,False,CAR
-1,T3 3110,C,2,2,093A;093B,False,CAR
-1,T3 3111,C,2,2,094A;094B,False,CAR
-1,T3 3112,C,2,2,095A;095B,False,CAR
-1,T3 3113,C,2,2,095A;095B,False,CAR
-1,T3 3101,C,2,2,058A;058B,False,CAR
-1,T2 2201,B,2,2,066A;066B,False,CAR
-1,T2 2202,B,2,2,066A;066B,False,CAR
-1,T2 2203,B,2,2,066A;066B,False,CAR
-1,T2 2204,B,2,2,070A;070B,False,CAR
-1,T2 2205,B,2,2,070A;070B,False,CAR
-1,T2 2206,B,2,2,070A;070B,False,CAR
-1,T2 2207,B,2,2,071A;071B,False,CAR
-1,T2 2208,B,2,2,071A;071B,False,CAR
-1,T2 2209,B,2,2,071A;071B,False,CAR
-1,T2 2210,B,2,2,071A;071B,False,CAR
-1,T2 2211,B,2,2,074A;074B,False,CAR
-1,T2 2212,B,2,2,074A;074B,False,CAR
-1,T2 2213,B,2,2,074A;074B,False,CAR
-1,T2 2214,A,2,2,075A;075B,False,CAR
-1,T2 2215,A,2,2,076A;076B,False,CAR
-1,T2 2216,B,2,2,070A;070B,False,CAR
-1,T2 2217,B,2,2,071A;071B,False,CAR
-1,T2 2218,B,2,2,074A;074B,False,CAR
-1,T2 2219,B,1,1,,False,CAR
-1,T2 2222,B,2,2,104A;104B,False,CAR
-1,T2 2223,B,2,2,104A;104B,False,CAR
-1,T2 2224,B,2,2,111A;111B,False,CAR
-1,T2 2220,B,2,2,098A;098B,False,CAR
-1,T2 2221,B,2,2,099A;099B,False,CAR
-1,T2 2101,B,2,2,066A;066B,False,CAR
-1,T2 2102,B,2,2,066A;066B,False,CAR
-1,T2 2103,B,2,2,066A;066B,False,CAR
-1,T2 2114,C,2,2,095A;095B,False,CAR
-1,T2 2113,B,2,2,098A;098B,False,CAR
-1,T2 2112,B,2,2,099A;099B,False,CAR
-1,T2 2111,B,2,2,099A;099B,False,CAR
-1,T2 2110,B,2,2,104A;104B,False,CAR
-1,T2 2109,B,2,2,104A;104B,False,CAR
-1,T2 2108,B,2,2,104A;104B,False,CAR
-1,T2 2107,B,2,2,104A;104B,False,CAR
-1,T2 2115,B,2,2,099A;099B,False,CAR
-1,T2 2116,B,2,2,099A;099B,False,CAR
-1,T2 2117,B,2,2,104A;104B,False,CAR
-1,T2 2118,B,2,2,104A;104B,False,CAR
-1,T2 2119,B,2,2,111A;111B,False,CAR
-1,T2 2106,B,2,2,104A;104B,False,CAR
-1,T2 2104,B,1,1,,False,CAR
-1,T2 2230,B,2,2,111A;111B,False,CAR
-1,T2 2229,B,2,2,104A;104B,False,CAR
-1,T2 2228,B,2,2,104A;104B,False,CAR
-1,T2 2227,B,2,2,104A;104B,False,CAR
-1,T2 2226,B,2,2,099A;099B,False,CAR
-1,T2 2225,B,2,2,098A;098B,False,CAR
-1,T1 1201,A,2,2,077A;077B,False,CAR
-1,T1 1202,A,2,2,077A;077B,False,CAR
-1,T1 1203,A,2,2,077A;077B,False,CAR
-1,T1 1204,A,2,2,077A;077B,False,CAR
-1,T1 1205,A,2,2,077A;077B,False,CAR
-1,T1 1206,A,2,2,085A;085B,False,CAR
-1,T1 1207,A,2,2,085A;085B,False,CAR
-1,T1 1208,A,2,2,085A;085B,False,CAR
-1,T1 1209,A,2,2,085A;085B,False,CAR
-1,T1 1210,A,2,2,085A;085B,False,CAR
-1,T1 1211,A,2,2,085A;085B,False,CAR
-1,T1 1212,A,2,2,085A;085B,False,CAR
-1,T1 1213,A,2,2,075A;075B,False,CAR
-1,T1 1214,A,2,2,076A;076B,False,CAR
-1,T1 1215,A,2,2,077A;077B,False,CAR
-1,T1 1217,A,2,2,085A;085B,False,CAR
-1,T1 1218,A,2,2,086A;086B,False,CAR
-1,T1 1219,A,2,1,110B,False,CAR
-1,T1 1220,A,2,2,112A;112B,False,CAR
