floor,code,tower,cat,cap,pcd,kind,l,tp,w,h
-1,T3 3223,C,2,2,False,CAR,29.061,39.366,1.289,7.138
-1,T3 3201,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3202,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3203,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3204,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3205,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3224,C,2,2,False,CAR,29.061,39.366,1.289,7.138
-1,T3 3225,C,2,2,False,CAR,30.35,39.366,1.289,7.138
-1,T3 3206,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3207,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3208,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3226,C,2,2,False,CAR,39.601,49.372,1.293,7.133
-1,T3 3227,C,2,2,False,CAR,40.894,49.372,1.289,7.133
-1,T3 3228,C,2,2,False,CAR,47.873,39.366,1.293,7.138
-1,T3 3231,C,2,2,False,CAR,39.601,49.372,1.293,7.133
-1,T3 3230,C,2,2,False,CAR,40.894,49.372,1.289,7.133
-1,T3 3229,C,2,2,False,CAR,42.183,49.372,1.289,7.133
-1,T3 3209,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3210,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3211,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3212,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3213,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3214,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3215,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3216,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3217,C,2,2,False,CAR,31.596,28.272,1.293,7.133
-1,T3 3218,C,2,2,False,CAR,47.873,39.366,1.293,7.138
-1,T3 3232,C,2,2,False,CAR,39.601,49.372,1.293,7.133
-1,T3 3234,C,2,2,False,CAR,39.601,49.372,1.293,7.133
-1,T3 3235,C,2,2,False,CAR,39.601,49.372,1.293,7.133
-1,T3 3219,C,2,2,False,CAR,47.873,39.366,1.293,7.138
-1,T3 3220,C,2,2,False,CAR,47.873,39.366,1.293,7.138
-1,T3 3221,C,2,2,False,CAR,47.873,39.366,1.293,7.138
-1,T3 3222,C,2,2,False,CAR,47.873,39.366,1.293,7.138
-1,T3 3102,C,2,2,False,CAR,29.061,39.366,1.289,7.138
-1,T3 3103,C,2,2,False,CAR,29.061,39.366,1.289,7.138
-1,T3 3105,C,2,2,False,CAR,39.601,49.372,1.293,7.133
-1,T3 3104,C,2,2,False,CAR,39.601,49.372,1.293,7.133
-1,T3 3106,C,2,2,False,CAR,39.601,49.372,1.293,7.133
-1,T3 3107,C,2,2,False,CAR,39.601,49.372,1.293,7.133
-1,T3 3108,C,2,2,False,CAR,39.601,49.372,1.293,7.133
-1,T3 3109,C,2,2,False,CAR,39.601,49.372,1.293,7.133
-1,T3 3110,C,2,2,False,CAR,39.601,49.372,1.293,7.133
-1,T3 3111,C,2,2,False,CAR,40.894,49.372,1.289,7.133
-1,T3 3112,C,2,2,False,CAR,42.183,49.372,1.289,7.133
-1,T3 3113,C,2,2,False,CAR,42.183,49.372,1.289,7.133
-1,T3 3101,C,2,2,False,CAR,30.35,39.366,1.289,7.138
-1,T2 2201,B,2,2,False,CAR,47.873,39.366,1.293,7.138
-1,T2 2202,B,2,2,False,CAR,47.873,39.366,1.293,7.138
-1,T2 2203,B,2,2,False,CAR,47.873,39.366,1.293,7.138
-1,T2 2204,B,2,2,False,CAR,57.558,39.456,1.289,7.133
-1,T2 2205,B,2,2,False,CAR,57.558,39.456,1.289,7.133
-1,T2 2206,B,2,2,False,CAR,57.558,39.456,1.289,7.133
-1,T2 2207,B,2,2,False,CAR,58.847,39.456,1.293,7.133
-1,T2 2208,B,2,2,False,CAR,58.847,39.456,1.293,7.133
-1,T2 2209,B,2,2,False,CAR,58.847,39.456,1.293,7.133
-1,T2 2210,B,2,2,False,CAR,58.847,39.456,1.293,7.133
-1,T2 2211,B,2,2,False,CAR,66.475,39.748,1.289,7.133
-1,T2 2212,B,2,2,False,CAR,66.475,39.748,1.289,7.133
-1,T2 2213,B,2,2,False,CAR,66.475,39.748,1.289,7.133
-1,T2 2214,B,2,2,False,CAR,67.764,39.748,1.289,7.133
-1,T2 2215,B,2,2,False,CAR,69.16,39.748,1.289,7.133
-1,T2 2216,B,2,2,False,CAR,57.558,39.456,1.289,7.133
-1,T2 2217,B,2,2,False,CAR,58.847,39.456,1.293,7.133
-1,T2 2218,B,2,2,False,CAR,66.475,39.748,1.289,7.133
-1,T2 2219,B,1,1,False,CAR,60.4,43.035,2.799,1.978
-1,T2 2222,B,2,2,False,CAR,57.751,49.372,1.289,7.133
-1,T2 2223,B,2,2,False,CAR,57.751,49.372,1.289,7.133
-1,T2 2224,B,2,2,False,CAR,66.475,49.372,1.289,7.133
-1,T2 2220,B,2,2,False,CAR,47.004,49.372,1.289,7.133
-1,T2 2221,B,2,2,False,CAR,48.293,49.372,1.293,7.133
-1,T2 2101,B,2,2,False,CAR,47.873,39.366,1.293,7.138
-1,T2 2102,B,2,2,False,CAR,47.873,39.366,1.293,7.138
-1,T2 2103,B,2,2,False,CAR,47.873,39.366,1.293,7.138
-1,T2 2114,B,2,2,False,CAR,42.183,49.372,1.289,7.133
-1,T2 2113,B,2,2,False,CAR,47.004,49.372,1.289,7.133
-1,T2 2112,B,2,2,False,CAR,48.293,49.372,1.293,7.133
-1,T2 2111,B,2,2,False,CAR,48.293,49.372,1.293,7.133
-1,T2 2110,B,2,2,False,CAR,57.751,49.372,1.289,7.133
-1,T2 2109,B,2,2,False,CAR,57.751,49.372,1.289,7.133
-1,T2 2108,B,2,2,False,CAR,57.751,49.372,1.289,7.133
-1,T2 2107,B,2,2,False,CAR,57.751,49.372,1.289,7.133
-1,T2 2115,B,2,2,False,CAR,48.293,49.372,1.293,7.133
-1,T2 2116,B,2,2,False,CAR,48.293,49.372,1.293,7.133
-1,T2 2117,B,2,2,False,CAR,57.751,49.372,1.289,7.133
-1,T2 2118,B,2,2,False,CAR,57.751,49.372,1.289,7.133
-1,T2 2119,B,2,2,False,CAR,66.475,49.372,1.289,7.133
-1,T2 2106,B,2,2,False,CAR,57.751,49.372,1.289,7.133
-1,T2 2104,B,1,1,False,CAR,60.4,43.035,2.799,1.978
-1,T2 2230,B,2,2,False,CAR,66.475,49.372,1.289,7.133
